Class,firstRecess,lunchRecess,afterLunch,lastRecess,end,firstRecessED,lunchRecessED,afterLunchED,endED
1L,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
2L,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
3L,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
4L,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
5L,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
6L,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
1R,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
2R,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
3R,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
4R,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
5R,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
6R,10:13,12:06,12:51,13:53,15:12,9:55,11:54,12:54,14:12
